ID,MONTHS_BALANCE,STATUS,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008806,0.0,C,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,Security staff,2
5008808,0.0,0,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Sales staff,1
5008810,0.0,C,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Sales staff,1
5008811,0.0,C,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Sales staff,1
5008815,0.0,0,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,Accountants,2
5112956,0.0,X,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,Accountants,2
5008821,0.0,X,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008824,0.0,0,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008825,0.0,0,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,Accountants,2
5008830,0.0,C,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Laborers,2
5008831,0.0,C,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Laborers,2
5008832,0.0,C,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Laborers,2
5008839,0.0,C,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008840,0.0,C,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008841,0.0,0,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008842,0.0,0,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008843,0.0,C,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008846,0.0,0,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008850,0.0,0,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008851,0.0,0,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008852,0.0,0,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008855,0.0,C,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008856,0.0,0,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008857,0.0,X,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008858,0.0,C,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008859,0.0,0,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008860,0.0,0,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008861,0.0,0,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008862,0.0,0,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008864,0.0,0,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008868,0.0,0,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,Core staff,3
5008872,0.0,0,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,Security staff,2
5008873,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008874,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008875,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008876,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008877,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008879,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008880,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008881,0.0,C,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Managers,4
5008889,0.0,0,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Core staff,1
5008891,0.0,C,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Laborers,1
